<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.06.03	12:04:00	4451.22	4451.99	4450.79	4451.10	205	0	27
2026.06.03	12:05:00	4451.13	4453.01	4451.11	4452.36	197	0	26
2026.06.03	12:06:00	4452.33	4454.73	4452.33	4454.15	179	0	26
2026.06.03	12:07:00	4454.15	4458.38	4453.64	4458.38	238	0	26
2026.06.03	12:08:00	4458.38	4458.96	4457.55	4458.02	234	0	26
2026.06.03	12:09:00	4458.05	4458.12	4455.92	4456.83	263	0	26
2026.06.03	12:10:00	4456.59	4456.90	4455.82	4456.68	178	0	26
2026.06.03	12:11:00	4456.81	4456.85	4454.50	4454.50	160	0	26
2026.06.03	12:12:00	4454.48	4454.86	4452.58	4453.21	175	0	26
2026.06.03	12:13:00	4453.19	4454.47	4453.13	4453.54	165	0	26
2026.06.03	12:14:00	4453.60	4453.60	4451.29	4451.34	175	0	26
2026.06.03	12:15:00	4451.07	4451.70	4447.45	4449.12	274	0	24
2026.06.03	12:16:00	4449.14	4449.16	4447.53	4447.77	218	0	26
2026.06.03	12:17:00	4447.76	4448.78	4446.87	4447.84	214	0	26
2026.06.03	12:18:00	4447.82	4448.43	4447.43	4448.17	168	0	26
2026.06.03	12:19:00	4447.95	4450.65	4447.90	4450.02	200	0	26
2026.06.03	12:20:00	4450.07	4451.93	4450.05	4451.45	201	0	26
2026.06.03	12:21:00	4451.43	4451.63	4450.30	4451.19	205	0	26
2026.06.03	12:22:00	4451.19	4451.45	4449.53	4449.60	208	0	26
2026.06.03	12:23:00	4449.62	4450.46	4449.37	4450.25	181	0	26
2026.06.03	12:24:00	4450.27	4450.31	4447.17	4447.76	252	0	26
2026.06.03	12:25:00	4447.69	4448.81	4447.55	4448.21	194	0	26
2026.06.03	12:26:00	4448.21	4448.69	4447.62	4448.58	161	0	26
2026.06.03	12:27:00	4448.55	4449.02	4446.56	4446.56	218	0	26
2026.06.03	12:28:00	4446.45	4447.32	4445.41	4446.05	278	0	26
2026.06.03	12:29:00	4446.01	4446.03	4439.47	4439.90	363	0	24
2026.06.03	12:30:00	4439.90	4442.31	4439.71	4441.27	335	0	27
2026.06.03	12:31:00	4441.29	4442.32	4440.64	4441.77	270	0	24
2026.06.03	12:32:00	4441.86	4444.01	4441.16	4443.36	297	0	26
2026.06.03	12:33:00	4443.38	4444.36	4442.36	4443.54	218	0	26
2026.06.03	12:34:00	4443.57	4444.24	4441.73	4441.84	158	0	24
2026.06.03	12:35:00	4441.79	4442.17	4440.20	4440.73	197	0	24
2026.06.03	12:36:00	4440.75	4444.01	4438.94	4443.79	254	0	24
2026.06.03	12:37:00	4443.82	4445.38	4443.64	4445.38	180	0	26
2026.06.03	12:38:00	4445.36	4446.59	4445.35	4445.75	197	0	26
2026.06.03	12:39:00	4445.74	4447.06	4445.74	4446.82	165	0	26
2026.06.03	12:40:00	4446.84	4448.36	4446.40	4446.60	216	0	26
2026.06.03	12:41:00	4446.58	4446.66	4445.69	4445.83	205	0	26
2026.06.03	12:42:00	4445.80	4445.85	4444.27	4445.38	178	0	26
2026.06.03	12:43:00	4445.37	4447.79	4445.33	4446.66	207	0	26
2026.06.03	12:44:00	4446.72	4447.45	4446.36	4446.61	154	0	26
2026.06.03	12:45:00	4446.46	4446.58	4444.04	4446.42	187	0	24
2026.06.03	12:46:00	4446.39	4446.69	4445.14	4445.58	179	0	26
2026.06.03	12:47:00	4445.61	4446.94	4445.29	4445.35	201	0	26
2026.06.03	12:48:00	4445.39	4445.83	4444.47	4445.58	167	0	26
2026.06.03	12:49:00	4445.59	4447.52	4445.59	4446.96	162	0	26
2026.06.03	12:50:00	4446.91	4447.93	4446.87	4447.10	135	0	26
2026.06.03	12:51:00	4447.16	4447.34	4445.88	4446.02	152	0	26
2026.06.03	12:52:00	4445.98	4446.05	4445.22	4445.39	150	0	26
2026.06.03	12:53:00	4445.42	4445.87	4444.65	4444.78	179	0	26
2026.06.03	12:54:00	4444.84	4445.42	4443.39	4443.40	220	0	26
2026.06.03	12:55:00	4443.38	4444.16	4442.93	4443.92	199	0	26
2026.06.03	12:56:00	4443.98	4444.18	4443.32	4443.62	189	0	26
2026.06.03	12:57:00	4443.64	4444.07	4441.38	4441.53	184	0	26
2026.06.03	12:58:00	4441.60	4442.17	4440.90	4441.31	218	0	26
2026.06.03	12:59:00	4441.33	4443.17	4441.33	4443.03	175	0	26
2026.06.03	13:00:00	4443.00	4443.44	4440.87	4442.10	255	0	26
2026.06.03	13:01:00	4442.12	4442.96	4441.64	4442.37	217	0	26
2026.06.03	13:02:00	4442.36	4446.29	4442.33	4446.29	243	0	26
2026.06.03	13:03:00	4446.31	4447.62	4445.90	4447.01	247	0	26
2026.06.03	13:04:00	4446.93	4447.89	4445.93	4447.89	206	0	24
2026.06.03	13:05:00	4447.90	4452.69	4447.07	4452.43	357	0	24
2026.06.03	13:06:00	4452.39	4459.44	4451.86	4456.06	522	0	24
2026.06.03	13:07:00	4456.05	4465.59	4456.01	4458.09	532	0	24
2026.06.03	13:08:00	4458.07	4466.89	4457.75	4461.49	495	0	24
2026.06.03	13:09:00	4461.53	4461.82	4457.62	4461.52	445	0	26
2026.06.03	13:10:00	4461.65	4464.45	4460.33	4462.27	461	0	26
2026.06.03	13:11:00	4462.29	4463.48	4461.45	4462.76	411	0	27
2026.06.03	13:12:00	4462.78	4462.89	4459.49	4460.16	381	0	27
2026.06.03	13:13:00	4460.12	4462.67	4459.14	4461.41	350	0	27
2026.06.03	13:14:00	4461.42	4464.27	4461.28	4462.92	306	0	24
2026.06.03	13:15:00	4462.96	4463.04	4460.46	4460.87	301	0	26
2026.06.03	13:16:00	4460.82	4463.26	4460.67	4462.63	288	0	27
2026.06.03	13:17:00	4462.61	4463.42	4461.25	4461.25	300	0	27
2026.06.03	13:18:00	4461.31	4463.53	4461.03	4462.56	263	0	28
2026.06.03	13:19:00	4462.54	4463.70	4462.35	4462.47	191	0	28
2026.06.03	13:20:00	4462.54	4463.66	4460.80	4462.19	303	0	28
2026.06.03	13:21:00	4462.22	4464.21	4461.07	4461.65	265	0	28
2026.06.03	13:22:00	4461.63	4461.99	4459.28	4459.83	273	0	24
2026.06.03	13:23:00	4459.83	4459.91	4456.72	4456.72	262	0	27
2026.06.03	13:24:00	4456.91	4457.46	4456.08	4456.92	266	0	26
2026.06.03	13:25:00	4457.05	4457.41	4455.81	4456.37	218	0	26
2026.06.03	13:26:00	4456.37	4456.44	4454.10	4454.16	228	0	26
2026.06.03	13:27:00	4454.18	4455.66	4453.58	4455.57	256	0	24
2026.06.03	13:28:00	4455.52	4458.62	4455.39	4458.45	319	0	27
2026.06.03	13:29:00	4458.47	4460.62	4457.65	4460.00	251	0	26
2026.06.03	13:30:00	4460.01	4462.20	4458.66	4461.06	250	0	26
2026.06.03	13:31:00	4461.00	4461.69	4460.64	4460.75	216	0	26
2026.06.03	13:32:00	4460.73	4461.90	4460.50	4461.63	182	0	26
2026.06.03	13:33:00	4461.60	4462.72	4459.38	4460.70	244	0	24
2026.06.03	13:34:00	4460.67	4461.03	4459.47	4460.07	166	0	26
2026.06.03	13:35:00	4460.17	4460.39	4459.11	4459.55	143	0	26
2026.06.03	13:36:00	4459.52	4459.73	4458.23	4458.77	155	0	26
2026.06.03	13:37:00	4458.81	4459.68	4458.81	4459.13	144	0	26
2026.06.03	13:38:00	4459.19	4460.01	4459.08	4459.44	151	0	26
2026.06.03	13:39:00	4459.42	4460.07	4458.52	4459.03	159	0	26
2026.06.03	13:40:00	4459.07	4459.16	4458.11	4458.20	143	0	26
2026.06.03	13:41:00	4458.16	4458.32	4456.07	4456.59	132	0	26
2026.06.03	13:42:00	4456.61	4456.99	4455.47	4455.96	165	0	26
2026.06.03	13:43:00	4455.94	4455.94	4454.66	4455.68	186	0	26
2026.06.03	13:44:00	4455.68	4456.52	4453.12	4454.18	184	0	26
2026.06.03	13:45:00	4454.11	4455.79	4453.97	4454.69	201	0	26
2026.06.03	13:46:00	4454.73	4454.98	4454.05	4454.13	131	0	26
2026.06.03	13:47:00	4454.16	4455.06	4453.68	4455.06	165	0	27
2026.06.03	13:48:00	4455.04	4456.36	4455.03	4456.35	168	0	26
2026.06.03	13:49:00	4456.34	4456.56	4455.53	4455.86	133	0	27
2026.06.03	13:50:00	4455.88	4458.60	4455.88	4458.51	185	0	27
2026.06.03	13:51:00	4458.56	4458.69	4457.58	4457.97	154	0	27
2026.06.03	13:52:00	4457.95	4459.43	4457.95	4459.28	173	0	27
2026.06.03	13:53:00	4459.27	4459.31	4457.00	4457.03	189	0	27
2026.06.03	13:54:00	4457.00	4459.27	4456.76	4459.18	156	0	26
2026.06.03	13:55:00	4459.24	4461.00	4458.55	4460.62	172	0	27
2026.06.03	13:56:00	4460.66	4460.95	4460.07	4460.75	149	0	26
2026.06.03	13:57:00	4460.73	4460.84	4459.43	4459.61	110	0	27
2026.06.03	13:58:00	4459.62	4459.98	4459.04	4459.59	142	0	27
2026.06.03	13:59:00	4459.63	4459.63	4458.39	4458.94	135	0	26
2026.06.03	14:00:00	4458.95	4460.98	4458.95	4459.74	240	0	24
2026.06.03	14:01:00	4459.78	4460.83	4459.44	4459.49	191	0	24
2026.06.03	14:02:00	4459.56	4463.37	4459.43	4463.37	225	0	24
2026.06.03	14:03:00	4463.32	4464.47	4462.96	4464.04	266	0	24
2026.06.03	14:04:00	4464.07	4464.58	4463.04	4464.34	199	0	24
2026.06.03	14:05:00	4464.37	4464.90	4462.46	4462.71	215	0	24
2026.06.03	14:06:00	4462.64	4464.40	4462.64	4463.80	195	0	24
2026.06.03	14:07:00	4463.81	4465.63	4463.81	4465.63	242	0	24
2026.06.03	14:08:00	4465.64	4467.99	4464.72	4466.78	294	0	24
2026.06.03	14:09:00	4466.77	4466.77	4462.96	4463.20	303	0	26
2026.06.03	14:10:00	4463.17	4464.19	4462.37	4462.74	238	0	26
2026.06.03	14:11:00	4462.71	4463.41	4460.90	4461.44	236	0	25
2026.06.03	14:12:00	4461.59	4462.40	4460.99	4461.59	218	0	25
2026.06.03	14:13:00	4461.55	4463.67	4461.55	4462.61	218	0	26
2026.06.03	14:14:00	4462.67	4462.96	4461.82	4462.02	147	0	26
2026.06.03	14:15:00	4462.05	4462.57	4461.68	4461.94	119	0	28
2026.06.03	14:16:00	4462.00	4462.12	4460.86	4461.03	148	0	28
2026.06.03	14:17:00	4461.19	4461.70	4459.17	4459.27	177	0	28
2026.06.03	14:18:00	4459.22	4460.10	4459.15	4459.72	169	0	28
2026.06.03	14:19:00	4459.77	4461.10	4459.65	4460.99	148	0	27
2026.06.03	14:20:00	4460.97	4465.43	4460.97	4465.31	255	0	27
2026.06.03	14:21:00	4465.43	4465.71	4463.38	4463.50	223	0	27
2026.06.03	14:22:00	4463.48	4463.50	4461.91	4462.18	159	0	27
2026.06.03	14:23:00	4462.24	4462.85	4461.62	4461.66	169	0	28
2026.06.03	14:24:00	4461.71	4463.08	4461.71	4462.78	157	0	27
2026.06.03	14:25:00	4462.81	4463.27	4462.25	4462.93	150	0	27
2026.06.03	14:26:00	4462.95	4463.31	4462.33	4463.11	143	0	27
2026.06.03	14:27:00	4462.92	4464.53	4461.90	4464.20	157	0	27
2026.06.03	14:28:00	4464.23	4464.52	4462.79	4462.91	191	0	27
2026.06.03	14:29:00	4462.94	4464.72	4462.94	4464.50	149	0	27
2026.06.03	14:30:00	4464.48	4467.06	4464.45	4466.06	256	0	27
2026.06.03	14:31:00	4466.05	4466.05	4464.58	4464.88	139	0	26
2026.06.03	14:32:00	4464.88	4465.84	4464.75	4465.01	205	0	26
2026.06.03	14:33:00	4465.03	4465.03	4463.75	4463.98	159	0	26
2026.06.03	14:34:00	4464.15	4466.13	4463.98	4465.70	161	0	28
2026.06.03	14:35:00	4465.70	4466.13	4464.85	4465.13	152	0	27
2026.06.03	14:36:00	4465.16	4465.43	4463.71	4463.72	151	0	26
2026.06.03	14:37:00	4463.70	4464.60	4463.56	4464.43	112	0	26
2026.06.03	14:38:00	4464.55	4464.59	4463.28	4463.47	169	0	26
2026.06.03	14:39:00	4463.43	4464.11	4463.01	4463.38	207	0	26
2026.06.03	14:40:00	4463.38	4463.51	4462.64	4463.00	140	0	26
2026.06.03	14:41:00	4463.04	4464.62	4462.95	4464.32	171	0	26
2026.06.03	14:42:00	4464.41	4464.54	4462.44	4462.44	147	0	26
2026.06.03	14:43:00	4462.46	4462.46	4459.71	4459.76	177	0	27
2026.06.03	14:44:00	4459.82	4460.89	4459.39	4460.26	195	0	26
2026.06.03	14:45:00	4460.36	4460.44	4459.18	4460.00	213	0	26
2026.06.03	14:46:00	4460.01	4463.37	4458.52	4462.16	274	0	26
2026.06.03	14:47:00	4462.13	4463.48	4460.86	4461.95	215	0	26
2026.06.03	14:48:00	4461.98	4462.09	4460.49	4461.45	227	0	26
2026.06.03	14:49:00	4461.44	4462.31	4460.68	4462.27	169	0	28
2026.06.03	14:50:00	4462.28	4462.95	4461.62	4462.80	138	0	28
2026.06.03	14:51:00	4462.87	4464.79	4462.62	4464.19	220	0	27
2026.06.03	14:52:00	4464.09	4464.22	4463.00	4463.57	151	0	28
2026.06.03	14:53:00	4463.60	4463.60	4461.80	4463.20	132	0	28
2026.06.03	14:54:00	4463.27	4463.69	4462.47	4462.51	145	0	26
2026.06.03	14:55:00	4462.49	4463.25	4462.36	4463.23	165	0	27
2026.06.03	14:56:00	4463.25	4463.33	4461.93	4462.29	183	0	24
2026.06.03	14:57:00	4462.24	4462.68	4461.55	4461.61	162	0	27
2026.06.03	14:58:00	4461.63	4462.54	4461.29	4462.42	175	0	26
2026.06.03	14:59:00	4462.40	4463.10	4461.97	4462.34	182	0	27
2026.06.03	15:00:00	4462.67	4463.97	4461.10	4461.18	243	0	27
2026.06.03	15:01:00	4461.17	4461.53	4459.71	4460.63	200	0	28
2026.06.03	15:02:00	4460.60	4463.05	4460.42	4463.00	207	0	28
2026.06.03	15:03:00	4462.98	4464.43	4462.08	4462.47	266	0	29
2026.06.03	15:04:00	4462.49	4464.27	4462.49	4463.65	179	0	27
2026.06.03	15:05:00	4463.67	4463.78	4462.77	4463.18	219	0	27
2026.06.03	15:06:00	4463.21	4464.40	4462.36	4462.36	221	0	29
2026.06.03	15:07:00	4462.38	4463.39	4459.70	4459.92	210	0	29
2026.06.03	15:08:00	4459.79	4459.79	4457.19	4457.32	235	0	29
2026.06.03	15:09:00	4457.35	4458.49	4457.35	4458.28	194	0	28
2026.06.03	15:10:00	4458.40	4461.31	4458.32	4460.51	211	0	29
2026.06.03	15:11:00	4460.46	4460.73	4458.56	4459.96	190	0	27
2026.06.03	15:12:00	4459.92	4461.14	4459.73	4459.99	145	0	29
2026.06.03	15:13:00	4459.90	4459.90	4458.38	4458.42	147	0	29
2026.06.03	15:14:00	4458.39	4458.89	4458.18	4458.81	120	0	30
2026.06.03	15:15:00	4458.69	4459.04	4457.09	4458.19	235	0	31
2026.06.03	15:16:00	4458.17	4458.25	4455.75	4456.41	235	0	30
2026.06.03	15:17:00	4456.40	4457.74	4456.04	4457.17	192	0	30
2026.06.03	15:18:00	4457.14	4458.14	4456.27	4456.62	194	0	29
2026.06.03	15:19:00	4456.57	4457.08	4456.04	4456.22	198	0	29
2026.06.03	15:20:00	4455.77	4461.38	4455.77	4460.95	345	0	27
2026.06.03	15:21:00	4460.95	4462.26	4460.52	4460.59	252	0	24
2026.06.03	15:22:00	4460.56	4461.34	4459.58	4459.69	232	0	28
2026.06.03	15:23:00	4459.70	4460.12	4457.82	4457.90	248	0	28
2026.06.03	15:24:00	4457.91	4458.76	4457.49	4457.87	219	0	28
2026.06.03	15:25:00	4457.88	4457.97	4454.61	4455.43	275	0	28
2026.06.03	15:26:00	4455.40	4456.12	4454.48	4454.54	268	0	28
2026.06.03	15:27:00	4454.54	4454.76	4453.01	4453.79	296	0	27
2026.06.03	15:28:00	4453.92	4454.18	4451.88	4453.81	279	0	27
2026.06.03	15:29:00	4453.86	4454.15	4452.45	4452.70	198	0	27
2026.06.03	15:30:00	4452.74	4455.34	4451.88	4454.90	348	0	29
2026.06.03	15:31:00	4454.84	4455.23	4453.05	4454.94	292	0	26
2026.06.03	15:32:00	4454.95	4456.82	4454.53	4456.45	226	0	28
2026.06.03	15:33:00	4456.41	4456.61	4452.32	4452.35	233	0	27
2026.06.03	15:34:00	4452.37	4452.60	4450.96	4451.47	266	0	26
2026.06.03	15:35:00	4451.45	4451.55	4449.11	4451.00	287	0	24
2026.06.03	15:36:00	4451.17	4453.82	4450.77	4452.68	240	0	29
2026.06.03	15:37:00	4452.72	4452.82	4448.21	4448.94	268	0	24
2026.06.03	15:38:00	4448.91	4450.16	4448.83	4449.97	272	0	27
2026.06.03	15:39:00	4449.94	4450.18	4448.57	4449.49	250	0	29
2026.06.03	15:40:00	4449.72	4454.70	4449.71	4454.47	278	0	27
2026.06.03	15:41:00	4454.44	4457.32	4453.93	4456.94	278	0	27
2026.06.03	15:42:00	4456.92	4457.11	4454.70	4454.70	296	0	29
2026.06.03	15:43:00	4454.68	4457.95	4453.61	4457.95	284	0	24
2026.06.03	15:44:00	4458.10	4460.44	4458.10	4458.89	328	0	24
2026.06.03	15:45:00	4458.90	4459.34	4456.86	4457.98	318	0	27
2026.06.03	15:46:00	4458.17	4459.10	4456.71	4457.32	252	0	28
2026.06.03	15:47:00	4457.44	4460.11	4457.37	4459.35	274	0	24
2026.06.03	15:48:00	4459.09	4460.47	4457.89	4460.35	230	0	28
2026.06.03	15:49:00	4460.36	4461.60	4459.16	4461.25	249	0	29
2026.06.03	15:50:00	4461.27	4465.16	4460.72	4465.06	314	0	24
2026.06.03	15:51:00	4465.19	4467.15	4464.30	4466.56	310	0	24
2026.06.03	15:52:00	4466.59	4466.97	4463.16	4465.01	332	0	26
2026.06.03	15:53:00	4465.07	4465.07	4463.27	4464.45	271	0	28
2026.06.03	15:54:00	4464.61	4465.03	4460.54	4460.54	241	0	29
2026.06.03	15:55:00	4460.48	4460.48	4455.39	4458.56	362	0	25
2026.06.03	15:56:00	4458.71	4460.35	4457.99	4459.92	275	0	30
2026.06.03	15:57:00	4459.89	4461.32	4459.73	4460.97	194	0	30
2026.06.03	15:58:00	4460.83	4462.37	4460.64	4461.42	210	0	27
2026.06.03	15:59:00	4461.40	4461.40	4459.11	4460.24	272	0	24
2026.06.03	16:00:00	4460.23	4460.42	4458.04	4458.10	402	0	28
2026.06.03	16:01:00	4458.11	4462.40	4457.91	4461.30	382	0	29
2026.06.03	16:02:00	4461.40	4462.23	4460.55	4461.53	321	0	29
2026.06.03	16:03:00	4461.56	4465.47	4460.58	4463.97	371	0	29
2026.06.03	16:04:00	4463.96	4464.24	4461.06	4463.23	362	0	28
2026.06.03	16:05:00	4463.21	4464.86	4462.61	4463.62	299	0	29
2026.06.03	16:06:00	4463.65	4464.72	4462.48	4463.30	296	0	30
2026.06.03	16:07:00	4463.33	4465.28	4462.69	4464.92	303	0	29
2026.06.03	16:08:00	4464.93	4465.27	4462.11	4463.25	245	0	29
2026.06.03	16:09:00	4463.21	4463.88	4462.49	4462.49	236	0	24
2026.06.03	16:10:00	4462.52	4465.87	4461.89	4464.80	315	0	28
2026.06.03	16:11:00	4464.74	4465.61	4464.07	4464.07	270	0	29
2026.06.03	16:12:00	4464.15	4464.49	4462.52	4462.57	218	0	28
2026.06.03	16:13:00	4462.60	4463.52	4462.27	4463.44	253	0	28
2026.06.03	16:14:00	4463.46	4465.12	4462.24	4462.26	243	0	26
2026.06.03	16:15:00	4462.43	4463.20	4461.30	4462.38	243	0	29
2026.06.03	16:16:00	4462.34	4463.21	4459.13	4459.54	227	0	27
2026.06.03	16:17:00	4459.53	4459.80	4457.13	4457.39	289	0	26
2026.06.03	16:18:00	4457.42	4457.92	4455.33	4456.04	273	0	24
2026.06.03	16:19:00	4456.00	4457.80	4455.63	4457.36	251	0	26
2026.06.03	16:20:00	4457.38	4457.49	4453.32	4453.76	321	0	24
2026.06.03	16:21:00	4453.72	4457.82	4453.05	4456.45	352	0	26
2026.06.03	16:22:00	4456.42	4457.15	4455.48	4455.48	245	0	26
2026.06.03	16:23:00	4455.37	4455.37	4450.57	4450.76	350	0	26
2026.06.03	16:24:00	4450.82	4451.32	4447.10	4450.14	372	0	24
2026.06.03	16:25:00	4450.13	4450.55	4447.87	4448.98	323	0	26
2026.06.03	16:26:00	4449.02	4449.27	4445.65	4447.13	332	0	27
2026.06.03	16:27:00	4447.16	4449.38	4447.12	4448.46	281	0	27
2026.06.03	16:28:00	4448.42	4449.07	4446.37	4447.82	329	0	28
2026.06.03	16:29:00	4447.80	4449.44	4447.72	4448.48	232	0	27
2026.06.03	16:30:00	4448.89	4453.15	4447.92	4452.41	491	0	28
2026.06.03	16:31:00	4452.45	4453.13	4448.05	4449.47	433	0	28
2026.06.03	16:32:00	4449.42	4452.73	4448.65	4452.17	395	0	24
2026.06.03	16:33:00	4452.14	4452.14	4449.93	4450.03	401	0	28
2026.06.03	16:34:00	4450.01	4450.01	4446.46	4448.24	416	0	24
2026.06.03	16:35:00	4448.23	4448.60	4446.21	4447.80	419	0	28
2026.06.03	16:36:00	4447.88	4450.54	4447.52	4450.54	382	0	27
2026.06.03	16:37:00	4450.58	4451.52	4449.47	4449.75	401	0	27
2026.06.03	16:38:00	4449.76	4451.41	4448.76	4450.28	366	0	29
2026.06.03	16:39:00	4450.25	4450.35	4446.60	4448.60	383	0	27
2026.06.03	16:40:00	4448.56	4449.96	4446.82	4448.51	401	0	28
2026.06.03	16:41:00	4448.56	4448.69	4444.40	4445.62	404	0	28
2026.06.03	16:42:00	4445.58	4446.29	4435.33	4435.35	473	0	24
2026.06.03	16:43:00	4435.33	4436.29	4433.62	4434.18	458	0	24
2026.06.03	16:44:00	4434.13	4435.52	4427.06	4427.06	486	0	29
2026.06.03	16:45:00	4426.69	4431.99	4426.05	4431.48	502	0	27
2026.06.03	16:46:00	4431.24	4434.42	4429.29	4430.26	493	0	24
2026.06.03	16:47:00	4430.22	4433.28	4429.10	4433.19	484	0	29
2026.06.03	16:48:00	4433.23	4434.95	4431.66	4433.63	494	0	30
2026.06.03	16:49:00	4433.68	4438.23	4432.49	4436.99	521	0	28
2026.06.03	16:50:00	4436.95	4441.36	4435.28	4441.12	515	0	24
2026.06.03	16:51:00	4441.28	4444.09	4440.37	4442.99	471	0	27
2026.06.03	16:52:00	4443.00	4446.70	4442.86	4444.53	433	0	28
2026.06.03	16:53:00	4444.44	4446.44	4442.47	4445.86	427	0	27
2026.06.03	16:54:00	4445.90	4446.29	4443.89	4444.46	413	0	25
2026.06.03	16:55:00	4444.40	4449.99	4444.26	4446.97	445	0	24
2026.06.03	16:56:00	4446.98	4447.05	4444.22	4444.66	435	0	26
2026.06.03	16:57:00	4444.79	4446.08	4442.94	4444.29	419	0	27
2026.06.03	16:58:00	4444.34	4445.67	4441.64	4444.85	339	0	24
2026.06.03	16:59:00	4444.86	4446.43	4444.32	4446.43	292	0	29
2026.06.03	17:00:00	4446.68	4451.46	4443.94	4445.45	480	0	30
2026.06.03	17:01:00	4445.46	4447.78	4443.50	4444.12	408	0	24
2026.06.03	17:02:00	4444.09	4445.66	4442.39	4444.97	366	0	28
2026.06.03	17:03:00	4444.95	4446.23	4442.91	4444.40	397	0	28
2026.06.03	17:04:00	4444.34	4446.48	4444.06	4446.17	400	0	30
2026.06.03	17:05:00	4446.35	4448.75	4444.89	4446.14	448	0	26
2026.06.03	17:06:00	4446.21	4449.65	4445.85	4449.35	456	0	30
2026.06.03	17:07:00	4449.38	4452.04	4448.86	4451.54	438	0	29
2026.06.03	17:08:00	4451.36	4451.46	4448.36	4448.85	378	0	24
2026.06.03	17:09:00	4448.89	4452.11	4448.79	4450.44	406	0	28
2026.06.03	17:10:00	4450.46	4454.34	4450.45	4453.39	407	0	27
2026.06.03	17:11:00	4453.25	4456.50	4453.16	4454.42	415	0	29
2026.06.03	17:12:00	4454.15	4456.23	4453.65	4454.82	366	0	30
